quiz_id,question_number,prompt,choice_a,choice_b,choice_c,choice_d,correct_choice,feedback_a,feedback_b,feedback_c,feedback_d,trap_type,difficulty
b2-1_q01,1,What does it mean for evidence to be TRACEABLE to the text?,You can point to the exact words in the passage that support your answer.,You can recall the passage's overall argument without rereading it.,You can explain your answer in precise and formal language.,You can name the paragraph where the supporting idea appears.,A,Correct. Traceable means locatable: another reader can follow you straight to the specific words that carry the proof.,"Tempting because accurate recall feels like knowing the text. But a remembered argument gives the reader nothing to check, and memory is often slightly off on wording.",Tempting because polished phrasing sounds authoritative. But style is not proof; a well-worded claim with no text behind it is still unsupported.,Tempting because it does point somewhere real. But a paragraph number only narrows the search — traceable evidence pins the exact words.,B2.1-evidence-traceable,easy
b2-1_q02,2,Which is the BEST description of valid evidence?,A statement that matches your overall impression of the passage.,A direct quote or a specific locatable phrase from the passage.,A fair summary of the article's point stated in your own words.,A well-known fact that fits the topic the article discusses.,B,"Tempting because a strong impression usually comes from real reading. But an impression cannot be located by anyone else, and evidence has to be findable.",Correct. Either form works because both can be pointed to. What fails is vague gesturing at the text without naming any words in it.,"Tempting because a summary can be perfectly accurate. But it dissolves the specific words, and accuracy is not the same as a text anchor.","Tempting because outside facts often are true and relevant. But evidence questions ask what THIS passage says, so outside knowledge is untraceable here.",B2.1-evidence-traceable,easy
b2-1_q03,3,"A test question asks: ""Which sentence from the passage best supports the conclusion that the policy worked?"" The BEST answer is most likely:",A specific sentence quoted directly from the passage itself.,A general statement about how policies like this usually work.,A paraphrase capturing the passage's overall point on the policy.,A supporting fact about the policy drawn from outside the passage.,A,"Correct. The stem says ""which SENTENCE from the passage,"" and that wording asks for an actual line of the text rather than a restatement of it.","Tempting because the generalization may well be true of policies. But the stem asks for a sentence FROM this passage, not background reasoning about policy.","Tempting because a good paraphrase shows real comprehension. But a paraphrase is your sentence, not the passage's, so the stem's wording rules it out.","Tempting because outside facts can genuinely support the conclusion. But they are not in the passage, so they fail the requirement the stem sets.",B2.1-evidence-traceable,medium
b2-1_q04,4,"A student writes: ""The author thinks the new policy is good."" The test asks for EVIDENCE. The student's answer is:","Strong evidence, because it correctly states the author's position.","Not evidence, because it is a paraphrase with no anchor in the text.","Weak evidence, because it is too short to count as a full answer.","Not evidence, because it addresses the wrong topic altogether.",B,"Tempting because the claim may be exactly right, and correctness feels like sufficiency. But an evidence question asks you to point at text, not to state a conclusion.","Correct. The distinction is claim versus proof: evidence would quote or locate the specific words showing the author's approval, so the reader can verify it.",Tempting because the answer is indeed brief. But length is not the defect — a one-line direct quote would be shorter still and would count as evidence.,"Tempting because it correctly senses that something is missing. But it misdiagnoses the problem: the topic is right, and the text anchor is what is absent.",B2.1-evidence-traceable,medium
b2-1_q05,5,"A passage reads: ""The company laid off 200 workers in the third quarter and missed its earnings target by 18 percent."" A claim: ""The company is in financial trouble."" Which is the BEST evidence?",The company clearly had a difficult third quarter overall.,Companies in this industry sometimes have hard quarters.,It laid off 200 workers and missed earnings by 18 percent.,The author's word choice suggests disapproval of the company.,C,"Tempting because it is a true reading of the passage. But it is your summary of the facts rather than the facts, and it names no figure a reader could check.","Tempting because it supplies plausible context. But it comes from general knowledge rather than this passage, and it softens the claim instead of proving it.","Correct. It cites the two specific figures the passage states, and because both are locatable they function as proof rather than impression.","Tempting because tone matters on other question types. But this claim is about finances, not attitude, so the author's stance cannot prove it.",B2.1-evidence-traceable,medium
b2-1_q06,6,"When you make a claim about a passage, what should you always be able to do?",Point to the specific words in the text that would prove the claim.,Predict what the author is most likely to say in the next sentence.,Restate the passage's argument accurately from memory alone.,Compare the claim against what a different article says on the topic.,A,"Correct. Every claim should carry a locatable anchor. If you cannot point to the words, what you have is a hypothesis rather than evidence.","Tempting because strong readers really do predict. But prediction runs forward past the text, and evidence has to be already on the page.",Tempting because accurate recall shows genuine comprehension. But memory is often slightly wrong about exact wording and gives the reader nothing to verify.,Tempting because cross-text comparison is a real analytical skill. But it is a different one — another article cannot prove what THIS passage says.,B2.1-evidence-traceable,medium
b2-1_q07,7,"Read this answer: ""The author talks about that in paragraph 3."" Is this strong evidence?","Yes, because it locates the region the supporting proof comes from.","Partial, because it locates the paragraph but not the specific words.","No, because paragraph locations never count as evidence at all.","Yes, because a paragraph citation is the standard the question wants.",B,Tempting because locating is real progress and feels like citing. But the reader still has to hunt through the whole paragraph to find the actual proof.,"Correct. Naming paragraph 3 narrows the search without pinning the proof, and strong evidence identifies the sentence or phrase inside it.","Tempting because it correctly senses the answer is weak. But it overcorrects: location genuinely helps, it is simply not sufficient on its own.","Tempting because paragraph citations are standard in some kinds of writing. But evidence questions ask which words support the claim, not which region.",B2.1-evidence-traceable,medium
b2-1_q08,8,Which quoted evidence BEST supports the claim that the library's resources are shrinking?,The library's weekly hours have been cut from 60 down to 40.,Several staff positions at the library remain unfilled this year.,The children's reading program was canceled by the board last fall.,"Hours fell from 60 to 40, posts sit unfilled, and a program closed.",D,"Tempting because it is a genuine cut and directly relevant. But it shows a single symptom, and the claim is about resources broadly.",Tempting because unfilled positions really do signal strain. But staffing alone is a narrower claim than resources shrinking across the library.,"Tempting because a canceled program is vivid and easy to remember. But one closure is one program, not the overall pattern the claim asserts.","Correct. The claim covers resources across the board, so the evidence that proves it has to span hours, staffing, and programs together.",B2.1-evidence-traceable,hard
b2-1_q09,9,"A student says: ""I remember the article saying the program was successful."" The test asks for evidence. What's the better next move?",Write the remembered wording down and cite it as the article's claim.,Expand the memory into a longer and more detailed paraphrase.,Leave the item blank rather than risk quoting the article wrongly.,Return to the passage and find the exact words that show success.,D,"Tempting because the memory may well be accurate. But recall is often slightly off on exact wording, and a remembered line is not locatable by the reader.",Tempting because more detail feels like more evidence. But expanding an unanchored memory multiplies the guesswork instead of supplying a text anchor.,"Tempting because it avoids committing an error. But skipping forfeits a question that rereading would answer, and the passage is right there.","Correct. Going back converts a memory into a traceable citation, and rereading also catches the small wording errors that memory introduces.",B2.1-evidence-traceable,hard
b2-1_q10,10,What's the BEST description of why evidence-traceability matters on tests?,Graders are trained to reward very precise and careful wording.,Teachers generally prefer answers that include quotation marks.,"Evidence questions ask for proof from the text, so paraphrases miss.",These questions reward students who memorized the passage closely.,C,"Tempting because precision does affect scoring. But carefulness is not the issue: an imprecise quote still cites text, and a precise paraphrase still does not.",Tempting because quotation marks do show up in most strong answers. But they are a symptom rather than the reason — the requirement is the anchor itself.,"Correct. The stem usually says ""which sentence FROM the passage"" or ""which words BEST support,"" and that wording only accepts text-anchored answers.","Tempting because recall does help you work faster. But the task is to locate words rather than reproduce them, so looking back beats memorizing.",B2.1-evidence-traceable,medium
